https://arxiv.org/pdf/1510.04196.pdf Fig4
Er [MeV]		dN_dEr [1 / (400keV 10t yr)]
0.002298178171486		2.217741935483860
0.007563095437072		2.298387096774180
0.018134715025907		2.499999999999990
0.031213438074545		2.620967741935480
0.046841049640649		2.701612903225800
0.062301520976099		2.620967741935480
0.075171318736420		2.540322580645150
0.090798930302524		2.620967741935480
0.106384756810964		2.661290322580640
0.121970583319405		2.701612903225800
0.132416847735249		2.782258064516120
0.142779542035768		2.782258064516130
0.158365368544208		2.822580645161280
0.173992980110312		2.903225806451610
0.189578806618753		2.943548387096770
0.202615744609727		3.024193548387090
0.215443757312385		2.903225806451610
0.230987798763162		2.903225806451600
0.246615410329266		2.983870967741920
0.259735918435567		3.145161290322570
0.267758649506936		3.387096774193530
0.273274277118502		3.709677419354830
0.276157446097275		3.991935483870960
0.284305532341634		4.354838709677420
0.292537188701320		4.798387096774190
0.298261741601203		5.322580645161280
0.309084071536018		5.766129032258060
0.322288149757646		6.008064516129030
0.332943339461808		6.290322580645160
0.341007855590840		6.572580645161280
0.351955540698646		7.137096774193540
0.360813972923282		8.185483870967730
0.366496740765502		8.669354838709670
0.382124352331606		8.749999999999990
0.397543038609393		8.629032258064510
0.407822162794584		8.548387096774180
0.423282634130035		8.467741935483860
0.438743105465485		8.387096774193540
0.454203576800936		8.306451612903220
0.469664048136386		8.225806451612900
0.479859602206251		8.064516129032250
0.489971586160789		7.822580645161280
0.494985793080394		7.661290322580640
0.510446264415845		7.580645161290320
0.520641818485709		7.419354838709670
0.530837372555574		7.258064516129020
0.546214273775698		7.096774193548380
0.556409827845562		6.935483870967730
0.566605381915427		6.774193548387080
0.581982283135550		6.612903225806440
0.597317399298011		6.411290322580640
0.612652515460471		6.209677419354830
0.622764499415009		5.967741935483860
0.632876483369547		5.725806451612900
0.643072037439411		5.564516129032250
0.658448938659535		5.403225806451600
0.668560922614073		5.161290322580640
0.678672906568611		4.919354838709670
0.688784890523149		4.677419354838700
0.704161791743272		4.516129032258060
0.719538692963396		4.354838709677410
0.734915594183520		4.193548387096770
0.747660036770850		3.991935483870970
0.760320909242854		3.709677419354830
0.773023566772522		3.467741935483870
0.785726224302189		3.225806451612900
0.801103125522313		3.064516129032260
0.819070700317566		2.903225806451610
0.831856927962560		2.741935483870960
0.847233829182684		2.580645161290320
0.862527160287481		2.338709677419350
0.877820491392278		2.096774193548380
0.893197392612401		1.935483870967730
0.908574293832525		1.774193548387090
0.923951195052649		1.612903225806440
0.939328096272772		1.451612903225800
0.957337456125689		1.330645161290320
0.977979274611398		1.249999999999990
1.001169981614570		1.129032258064510
1.021895370215610		1.129032258064510
1.042620758816640		1.129032258064510
1.063346147417680		1.129032258064510
1.084071536018710		1.129032258064510
1.109978271770010		1.129032258064510
1.125522313220790		1.129032258064510
1.146247701821820		1.129032258064510
1.166973090422860		1.129032258064510
1.187698479023900		1.129032258064510
1.208423867624930		1.129032258064510
1.229065686110640		1.048387096774190
1.249832859769340		1.088709677419350
1.275781380578300		1.129032258064510
1.301688116329600		1.129032258064510
1.322413504930630		1.129032258064510
1.343138893531670		1.129032258064510
1.363864282132700		1.129032258064510
1.384589670733740		1.129032258064510
1.400133712184520		1.129032258064510
1.420859100785550		1.129032258064510
1.446765836536850		1.129032258064510
1.472672572288140		1.129032258064510
1.493439745946840		1.169354838709670
1.519346481698140		1.169354838709670
1.540030085241510		1.129032258064510
1.563304362360020		1.088709677419350
1.583987965903390		1.048387096774190
1.602080895871630		1.008064516129030
1.622806284472670		1.008064516129030
1.643489888016040		0.967741935483871
1.664215276617080		0.967741935483871
1.685024235333440		1.048387096774190
1.700568276784220		1.048387096774190
1.721293665385250		1.048387096774190
1.736837706836030		1.048387096774190
1.752381748286810		1.048387096774190
1.767925789737580		1.048387096774190
1.783553401303690		1.129032258064510
1.801688116329600		1.129032258064510
1.819822831355500		1.129032258064510
1.837957546381410		1.129032258064510
1.856008691291990		1.048387096774190
1.871636302858090		1.129032258064510
1.892361691459130		1.129032258064510
1.907905732909910		1.129032258064510
1.928631121510940		1.129032258064510
1.949356510111980		1.129032258064510
1.964900551562760		1.129032258064510
1.985542370048470		1.048387096774190
2.006267758649500		1.048387096774190
2.026993147250540		1.048387096774190
2.042495403643650		1.008064516129030
2.057997660036770		0.967741935483871
2.078723048637800		0.967741935483871
2.099448437238840		0.967741935483871
2.120173825839870		0.967741935483871
2.135717867290650		0.967741935483871
2.156443255891690		0.967741935483871
2.177168644492720		0.967741935483871
2.197894033093760		0.967741935483871
2.218702991810120		1.048387096774180
2.234247033260900		1.048387096774190
2.252339963229140		1.008064516129030
2.270432893197390		0.967741935483871
2.285976934648160		0.967741935483871
2.301437405983620		0.887096774193551
2.316981447434390		0.887096774193551
2.327427711850240		0.967741935483871
2.345478856760820		0.887096774193551
2.368794918936980		0.887096774193551
2.389520307538020		0.887096774193551
2.405064348988800		0.887096774193551
2.420608390439570		0.887096774193551
2.441333779040610		0.887096774193551
2.462059167641650		0.887096774193551
2.482700986127360		0.806451612903224
2.503426374728390		0.806451612903224
2.524151763329430		0.806451612903224
2.539654019722540		0.766129032258064
2.560337623265920		0.725806451612896
2.581063011866950		0.725806451612896
2.596565268260070		0.685483870967743
2.617248871803440		0.645161290322576
2.637974260404470		0.645161290322576
2.658699649005510		0.645161290322576
2.679341467491220		0.564516129032256
2.700066856092260		0.564516129032256
2.720792244693290		0.564516129032256
2.741475848236660		0.524193548387081
2.756978104629780		0.483870967741928
2.777703493230820		0.483870967741928
2.798428881831850		0.483870967741928
2.819070700317560		0.403225806451608
2.839796088918600		0.403225806451608
2.863070366037100		0.362903225806448
2.883753969580470		0.322580645161281
2.904479358181510		0.322580645161288
2.927795420357680		0.322580645161288
2.948479023901050		0.282258064516128
2.969162627444420		0.241935483870967
2.995069363195720		0.241935483870967
3.015794751796750		0.241935483870967
