https://arxiv.org/abs/1807.07169 Fig2
Er [keV]		dN_dEr [1 / (keV t yr)]
0.991080541428634		1.425102670302990
1.164522435296120		1.425102670302990
1.356112502308010		1.425102670302990
1.565137615731220		1.425102670302990
1.774300755024440		1.425102670302990
2.029518414212810		1.409413611924700
2.259881168001390		1.425102670302990
2.655366755003860		1.425102670302990
3.120063436705190		1.425102670302990
3.600976054673800		1.425102670302990
4.156014391818700		1.409413611924700
4.883328648254930		1.425102670302990
5.636023076517380		1.440966373335430
6.504734456155780		1.425102670302990
7.374019473296390		1.409413611924700
8.359474711699470		1.425102670302990
9.476625022296600		1.409413611924700
10.743069978730800		1.409413611924700
11.962474132500800		1.409413611924700
13.320288116345000		1.425102670302990
15.100395661331300		1.425102670302990
16.814382932144400		1.425102670302990
19.061437174542500		1.425102670302990
21.608785087464000		1.425102670302990
24.939466536206400		1.457006665100120
27.770248533090600		1.457006665100120
30.922341601414600		1.457006665100120
34.432216513121700		1.457006665100120
38.340483695848400		1.457006665100120
44.250114305097900		1.473225511315960
50.163647229686300		1.473225511315960
57.379249537275400		1.473225511315960
66.223430327774000		1.457006665100120
74.403836671707900		1.457006665100120
84.347077379295100		1.489624899583440
99.108054142863200		1.489624899583440
114.384126167203000		1.457006665100120
134.401671302556000		1.425102670302990
152.362951648352000		1.393897275524930
172.724556250042000		1.393897275524930
195.807261601423000		1.363375183559740
221.974712387423000		1.304321386719000
251.639150338441000		1.247825470470020
275.225529517832000		1.193776641714430
306.465310565712000		1.117061086275060
335.190598386032000		1.022387155299020
360.097605467379000		0.915247310877389
393.849899785339000		0.819335058863576
419.341740463176000		0.717412981256748
438.554272437754000		0.628169611574489
462.774744601504000		0.526203637786333
488.332864825492000		0.440789021496206
506.151065758750000		0.377505320532439
534.104773131656000		0.316227766016837
543.761631925544000		0.259096495283703
553.593091147018000		0.221898234145897
573.792495372752000		0.177827941003892
584.166926352499000		0.145700666510012
594.728931793433000		0.119377664171443
605.481903127678000		0.093573709456302
616.429293106006000		0.076668220745462
616.429293106006000		0.058780160722749
